id;code;class_code;semester;school_year;create_date;creator;update_date;updater
1;innovate invoice modular;Kyat Cambridgeshire;architect AGP Facilitator;Keyboard tan Borders;2021-08-30T05:26:52;ADP;2021-08-30T04:03:22;service-desk Borders
2;Engineer Tasty Unbranded;Account Account;Optimized Toys;Account Directives Islands;2021-08-29T21:41:58;Buckinghamshire Pizza Alaska;2021-08-30T04:04:13;Latvian
3;XML TCP;SMS Dynamic Books;Rustic;Polynesia matrix;2021-08-30T09:28:07;Pants Distributed Vermont;2021-08-30T08:16:18;Sleek Generic Tuna
4;calculating Lock;drive Developer paradigm;Car architectures open-source;productize Tasty;2021-08-29T18:40:41;program drive haptic;2021-08-30T15:55:11;Response
5;yellow Pre-emptive;Analyst Gorgeous Central;methodologies;supply-chains;2021-08-29T20:01:40;AI Dynamic Courts;2021-08-30T08:11:27;Account orchid
6;indexing Refined optical;Ranch;payment;Towels Frozen Cambridgeshire;2021-08-30T06:34:56;Facilitator Inverse;2021-08-30T15:36:36;Sri synthesize Handcrafted
7;Integration Sleek invoice;Mandatory;Profound;Lilangeni Franc Home;2021-08-29T20:22:36;Investor 1080p out-of-the-box;2021-08-29T21:44:05;Investment state Licensed
8;web-readiness;Buckinghamshire Avon Car;Small;Guinea Avon navigate;2021-08-30T00:03:06;Avon;2021-08-30T16:02:50;Soap
9;drive Pizza;compress Soap Tasty;intangible;Baby Officer Green;2021-08-30T03:21:24;protocol Maryland;2021-08-30T04:18:31;system-worthy application Data
10;Soft;SCSI copy;instruction Gorgeous Illinois;Oman relationships;2021-08-29T21:35:44;Corporate Car groupware;2021-08-30T07:16:37;Rubber B2B matrix
