id;student_code;number_off;number_off_allowed;academic_abitity;conduct;competition_title;parent_code
1;RAM users Analyst;26996;77965;Unit;2021-08-29T18:14:52;Salad;Granite
2;intangible Senegal adapter;71575;43869;XSS optical;2021-08-29T23:35:41;HTTP;Gourde Africa
3;circuit Senior;45091;49045;Facilitator Frozen Cambridgeshire;2021-08-30T06:46:38;Associate Market;Keyboard Investment
4;XSS program USB;11204;83054;indexing;2021-08-29T19:14:31;bus Credit;Malaysia
5;withdrawal Chief Handmade;40688;71612;Kansas RAM;2021-08-30T15:06:12;Cheese Direct;olive
6;Salad;39288;53518;Argentina Corporate Wooden;2021-08-30T16:14:43;SQL;demand-driven Gorgeous tan
7;open-source;3456;99333;online;2021-08-30T13:54:02;Cotton;Liechtenstein Metrics Unbranded
8;compressing users redundant;36563;99402;Metrics synergies Health;2021-08-30T07:51:11;connecting Ergonomic ADP;implementation
9;azure tan;3590;35265;Technician virtual;2021-08-29T23:43:14;Computers Republic Shoes;Chief 4th
10;redundant seamless;11026;36254;Chair leading-edge incentivize;2021-08-29T16:43:55;enterprise;SMTP navigating
