id;grade_code;semester;school_year_id;code
1;Director Up-sized bypassing;Human monitor;59484;Program invoice Arizona
2;Turkish Optimized;Namibia e-tailers Executive;98599;Chair program
3;Borders Incredible application;Planner;24834;bypassing transmitting Money
4;deposit;Fresh Small;90063;transmitting
5;emulation Fantastic;Awesome Franc;90393;Pike Investment
6;intuitive Solomon;Tasty digital;34987;motivating
7;radical infomediaries;Port;64944;Frozen
8;e-markets;Chicken incremental Borders;54664;focus
9;Mobility Awesome turquoise;Minnesota Carolina;25289;connecting Loan deposit
10;orange GB Metal;Pound Advanced;80673;Metal
