id;type_subjects;score_name;entry_lock_date;created_date;updated_date;updater_code;status;code;parent_code;before_notify
1;17553;Soft e-business RAM;2021-08-01T09:41:44;2021-08-01T13:31:56;2021-08-01T18:43:38;Silver Michigan;18289;Wooden circuit;Nevada Strategist Guilder;99730
2;2931;Integration;2021-08-01T18:19:33;2021-08-01T19:22:15;2021-08-01T09:01:47;Ports up SCSI;48182;Wooden bandwidth;quantify Hat Mayen;65123
3;80507;Customer;2021-08-01T11:46:58;2021-08-01T06:23:57;2021-08-01T06:04:35;Officer time-frame Quality;40757;middleware Rustic;Small;81206
4;7115;Incredible;2021-08-01T03:41:25;2021-08-01T02:04:06;2021-08-01T18:54:46;navigating Web;91899;Pre-emptive matrices set;compress Communications;4514
5;53143;Agent optical;2021-08-01T12:12:23;2021-08-01T07:30:25;2021-08-01T08:22:38;Swedish;87461;Licensed;XML;25035
6;61474;Technician viral;2021-08-01T01:15:37;2021-08-01T15:34:16;2021-08-01T19:07:15;synthesize monitor;45430;Metrics Response optical;Security;94222
7;98602;sensor Extended ADP;2021-08-01T13:41:32;2021-08-01T05:37:22;2021-08-01T06:20:45;Ball Knolls technologies;68815;transition attitude;mobile;3862
8;92228;Music;2021-08-01T00:40:23;2021-08-01T16:16:07;2021-08-01T16:03:19;Berkshire;51860;Towels;B2C Sleek;99511
9;8429;Electronics implement;2021-08-01T10:37:27;2021-08-01T15:32:00;2021-08-01T17:37:18;Bedfordshire Sleek;92564;Steel navigating;digital Iraqi JBOD;42907
10;271;Lithuania Avon;2021-08-01T10:52:24;2021-08-01T07:28:48;2021-08-01T12:03:17;Directives Group;32817;Hat cutting-edge withdrawal;Cheese Games interfaces;27491
