id;name;coefficient;quantity;minimum_score;code;parent_code
1;service-desk Direct;21599;441;82230;Nigeria Incredible;state
2;integrated AI;31470;86733;12102;sensor hacking;mesh Market customized
3;transmit Direct;53796;56322;37212;Chile Grocery;bandwidth
4;Crescent Account Direct;30834;62037;77447;Dollar input Bedfordshire;Stream Loan Directives
5;invoice;45667;69432;88241;Cambridgeshire killer;Generic generate tan
6;Shoes Soft;99521;37114;53611;Investment;bluetooth Markets reboot
7;navigate Wyoming Path;92891;95239;36827;experiences Credit Tasty;circuit extensible
8;Shirt Cambridgeshire;28853;44151;45513;IB Central Dynamic;actuating Credit Maryland
9;Salad Automated bypass;96456;32882;36252;Ball plum;bypassing
10;program;89925;18621;42778;silver;Towels Pizza Ocean
