id;parent_code;subject_code;apply_sate;code
1;Front-line;deposit;2021-08-01T03:04:40;innovate
2;Illinois;web-enabled productize Shoes;2021-08-01T13:16:14;intranet Concrete California
3;deposit B2B;black Account;2021-07-31T23:15:23;Singapore
4;Bedfordshire supply-chains;engineer open-source British;2021-08-01T01:29:46;blue withdrawal Grocery
5;Gorgeous well-modulated XML;optical open-source;2021-08-01T04:52:33;Profound olive
6;payment Frozen;withdrawal Rustic;2021-08-01T20:37:07;models
7;purple;Executive;2021-08-01T20:08:44;Frozen gold
8;Intelligent orchestrate;extranet Frozen;2021-08-01T08:40:27;applications eco-centric
9;Soft;strategize;2021-08-01T06:52:14;hack Branding XML
10;firewall;framework Saudi connect;2021-08-01T08:45:49;feed
