id;created_time;created_name;update_time;update_name;name;code;level_school
1;2021-07-31T07:40:43;Forward secured Unit;2021-07-31T07:32:18;Marketing;Home;bluetooth Hills;35086
2;2021-08-01T01:49:37;innovative;2021-08-01T01:47:14;users Auto;generate Alabama;Street;25287
3;2021-08-01T04:11:26;Money;2021-07-31T09:15:07;Turnpike channels Bedfordshire;deposit revolutionary indexing;one-to-one THX Borders;19763
4;2021-07-31T22:15:14;Card card;2021-07-31T08:00:56;implement rich driver;SMTP SMS;virtual software needs-based;7094
5;2021-07-31T13:25:39;end-to-end;2021-07-31T15:36:30;one-to-one methodologies;scalable Bahamian;benchmark capacitor;13141
6;2021-07-31T12:51:00;multi-byte withdrawal index;2021-07-31T16:19:48;navigate;sexy;Unbranded;97803
7;2021-07-31T17:26:37;District Berkshire reintermediate;2021-07-31T09:51:10;Avon systematic Delaware;Auto Convertible Ergonomic;Handcrafted;32012
8;2021-07-31T17:01:49;eyeballs;2021-07-31T18:18:22;Hampshire;monitoring;Peso;43047
9;2021-08-01T03:12:22;Guarani blockchains Division;2021-08-01T06:30:21;card Salad;Ports Intelligent vertical;back;53420
10;2021-08-01T07:17:02;Cambridgeshire lime Frozen;2021-07-31T22:19:21;Salad;Loan;Tasty cultivate;5540
