id;code;school_year;semester;class_code
1;capacitor Moldova;Montserrat white;Concrete local hacking;Refined
2;connect;Rustic copying;payment withdrawal COM;Refined Soft Hat Cheese
3;Planner orange Granite;olive;Rustic Granite Shirt parsing Intelligent;Ville Regional
4;Computers;Paradigm generate Group;Libyan Dinar Program;Developer
5;Mandatory SCSI;cross-platform Mouse;primary initiatives deposit;Representative
6;Buckinghamshire;Square;quantify;Money Market Account cross-media
7;blue invoice;copy Gorgeous Plastic Ball;generating Dynamic foreground;interfaces
8;Soft virtual Checking Account;grey;Triple-buffered Corporate;withdrawal lime
9;Tactics SMS Handmade;firewall;Ergonomic program Ouguiya;dynamic primary
10;Borders Optimized Sri Lanka Rupee;connect Wooden Rue;Cheese port;Division challenge open-source
