id;code;parent_code;score_code;times;value;type;coeficient
1;Assurance invoice vertical;United Kingdom Avon Trace;invoice;23707;repurpose Bedfordshire Michigan;99103;20980
2;Jewelery Credit Card Account;bluetooth moratorium;SSL Marketing;56717;best-of-breed;83265;34861
3;teal copy;Automotive connecting;invoice redundant;76280;Licensed Metal Gloves ROI Estate;63123;54349
4;Investment Account;Chips;payment;40905;Tasty;8485;18495
5;application South Carolina payment;Re-engineered systems deposit;Rubber;17649;New Zealand SQL;11909;68235
6;Trace;Turkmenistan infrastructures Suriname;Home content;98025;XSS Colorado visualize;25776;65164
7;Universal Borders Knolls;Investment Account;Liaison;14902;Plains Sausages;47637;1988
8;extend District;enterprise Granite;robust;99688;deposit Ball Facilitator;58981;75724
9;Iraqi Dinar Refined;Down-sized transmitting Fresh;copy index;77131;Associate El Salvador Colon US Dollar;13356;48430
10;driver solutions;Assistant Wooden South Carolina;Spur optical Awesome;69309;Avon GB capacitor;29920;20964
