id;code;student_code;parent_code;avg_score;subject_code
1;Program;multi-byte;Camp;54946;Row communities
2;Points;invoice;AGP THX Table;2349;Illinois Intuitive microchip
3;platforms Handmade Plastic Computer;Berkshire;product wireless;21643;Locks Vista redundant
4;navigating;SDD synthesize generating;Islands generate;25586;Avon Quetzal
5;aggregate Berkshire;cultivate XSS;hardware;67006;Producer integrated
6;bypassing Mouse firewall;Pants;Realigned;11684;JBOD Illinois
7;challenge mobile;Centralized Cambridgeshire red;generating;35364;Investment Account deposit
8;hacking;Functionality Toys;visualize;44450;Credit Card Account connect Optimization
9;navigate red;multi-byte;Global orange Checking Account;2658;Fish Taka
10;Poland dot-com British Indian Ocean Territory (Chagos Archipelago);cross-platform Incredible Frozen Hat world-class;zero administration;89101;Savings Account Marketing
