id;code;name;create_date;creator
1;Frozen;Knolls cross-platform d'Ivoire;2021-08-30T11:38:40;red Applications
2;California;upward-trending;2021-08-29T22:45:19;Licensed Response
3;Function-based parsing;Norway;2021-08-30T03:11:29;Devolved
4;Upgradable function neural;wireless 1080p;2021-08-30T04:17:00;contextually-based sticky Analyst
5;Soap;Agent;2021-08-30T11:38:03;withdrawal Fantastic Savings
6;Tuna panel panel;Buckinghamshire;2021-08-30T14:29:09;Generic
7;Tunnel Mountain Metal;Tools Assimilated schemas;2021-08-30T12:43:48;Pound
8;navigate Grocery Chief;parsing Digitized;2021-08-30T11:02:24;Connecticut Rubber open-source
9;Corporate Dong open-source;Clothing iterate;2021-08-30T13:35:42;primary calculate De-engineered
10;cross-platform installation Incredible;Account;2021-08-29T17:22:22;Account Avon
