id;student_code;created_date;old_class;semester;school_year_id;reason;type;status;code
1;Representative architectures dot-com;2021-08-01T06:38:40;94895;Keyboard Curve District;33161;Ville Future-proofed SMTP;5601;83857;optimal
2;task-force;2021-08-01T05:35:07;42059;Music Rupee payment;22212;Chief superstructure;26394;43123;regional strategize synthesizing
3;Fish Computer;2021-08-01T05:59:15;77089;functionalities Generic;74864;Buckinghamshire Lead Borders;59786;87695;optical
4;moderator Michigan;2021-07-31T22:27:48;18165;dynamic recontextualize methodologies;86598;Soft Italy;61258;56103;Ergonomic Licensed
5;Automated Concrete;2021-08-01T18:33:22;48014;Direct schemas bottom-line;98324;Optimization;64977;90500;engage generate
6;Eritrea Towels;2021-08-01T14:03:42;20068;defect;59335;Accounts Grocery Regional;81606;30935;user-centric Handcrafted SMTP
7;Tactics haptic International;2021-08-01T05:33:55;30111;initiatives Internal Buckinghamshire;69584;programming International;99130;73305;technologies
8;systems monitor JSON;2021-08-01T13:17:18;45368;Computer blockchains withdrawal;25912;schemas;13001;87889;calculating
9;incentivize Brand;2021-08-01T06:27:12;31998;Frozen Directives;17657;Mandatory;46499;45525;Soap hard Shirt
10;New invoice Games;2021-08-01T06:44:02;59571;Kyat override Shoes;29737;reboot Awesome Outdoors;73254;87214;Cambridgeshire
