id;teacher_code;pay_day;salary_level_id;rank_id;exceed_frame;description;allowance_mode;code
1;synergize matrices;2021-08-01T19:06:31;13377;57253;12626;Principal Dynamic;2471;parallelism
2;Architect;2021-08-01T02:11:54;11207;31526;98715;projection Wooden;39801;distributed
3;Steel unleash;2021-08-01T00:32:51;41258;29237;50510;withdrawal;82227;open-source Freeway turn-key
4;calculating;2021-08-01T22:12:05;70248;15923;66391;hard program;24467;firewall Forward
5;blue Networked full-range;2021-08-01T17:59:27;97866;75769;22643;Multi-layered Tasty Supervisor;61949;Plastic port Rupee
6;synthesize asymmetric Passage;2021-08-01T12:25:28;75569;55787;64631;Ville Designer;6957;Savings SAS
7;cross-platform Manager Buckinghamshire;2021-08-01T00:13:44;53539;44977;49900;Shoes;24793;Fully-configurable
8;Chicken silver;2021-08-01T16:45:31;25752;48437;95481;Cotton;93002;Facilitator
9;copying;2021-08-01T05:22:51;76261;90511;1328;Summit and;75871;Zealand monitor Bike
10;FTP hack;2021-08-01T15:34:48;66783;83821;2596;transition synergies;54925;invoice Soap Health
