id;code;grade_level;parent_code;end_date;apply_status;apply_date;class_code;crate_date;creator;status
1;proactive Belize Dollar implement;Dalasi;23053;2021-08-15T19:20:49;65961;2021-08-15T11:56:10;sensor visionary efficient;2021-08-15T22:35:19;Awesome Frozen Shoes gold;18206
2;Awesome Cotton Gloves;PNG Refined Square;7233;2021-08-16T07:34:57;61105;2021-08-16T03:13:08;incubate protocol;2021-08-15T17:49:23;Colorado Cook Islands dedicated;81125
3;Awesome;Crossing;81719;2021-08-15T23:01:19;77771;2021-08-15T20:53:01;Tactics;2021-08-16T02:25:03;Cambridgeshire;19058
4;Borders harness;Skyway;97071;2021-08-15T09:24:36;96747;2021-08-15T16:13:39;Intranet Savings Account Handmade Steel Hat;2021-08-15T14:05:20;Fish South Carolina;44209
5;upward-trending Parks;paradigms Cotton markets;17568;2021-08-16T06:53:59;92088;2021-08-16T07:49:47;Re-engineered Handmade Malaysian Ringgit;2021-08-16T04:14:50;override;59245
6;functionalities Steel;indexing;20520;2021-08-15T17:19:14;2717;2021-08-15T09:58:03;Director;2021-08-15T23:57:46;Health;45912
7;Refined Iowa;Luxembourg;34873;2021-08-15T18:06:11;80007;2021-08-15T12:53:35;Tuna;2021-08-15T12:04:20;Avon;19857
8;Creative;Bedfordshire deposit;58103;2021-08-16T08:33:37;61502;2021-08-16T02:39:10;Rustic optical Games;2021-08-16T08:39:54;Wooden Bermudian Dollar (customarily known as Bermuda Dollar) backing up;67138
9;CSS Fantastic Plastic Table;Connecticut Buckinghamshire;10464;2021-08-16T00:28:41;57738;2021-08-15T13:30:07;multi-state;2021-08-15T22:39:37;SSL client-server ADP;6794
10;monitor;withdrawal Libyan Dinar;6490;2021-08-16T09:13:10;48419;2021-08-15T12:17:43;Avon Tasty Rubber Sausages ivory;2021-08-15T21:43:36;navigating;41541
