id;code;subject_code;parent_code;lesson
1;array Handmade overriding;program;District Multi-channelled attitude-oriented;Developer Toys
2;Buckinghamshire quantify Human;synthesizing withdrawal Paradigm;Metal;Cambridgeshire Analyst Compatible
3;Industrial Intranet functionalities;Down-sized tan;calculate calculate;foreground Pula Fresh
4;Licensed USB Cambridgeshire;Automotive;experiences Identity;Soft Gloves
5;deposit Underpass;visionary SCSI;Direct Accountability HDD;RSS Home Loan Account
6;Mississippi;orchestrate Colorado;Manor Communications;Chief
7;Supervisor wireless;Credit Card Account;digital;Baht content enterprise
8;Drives Up-sized;Chair Architect;Stream;Incredible Soft Chair
9;Generic;Investment Account calculate Awesome Frozen Car;Face to face indexing generate;Bedfordshire Rustic Wooden Cheese Industrial
10;distributed Metal microchip;Awesome Wooden Car artificial intelligence Grocery;Money Market Account;salmon
