id;code;semester;create_date;shool_year;update_date;creator;updater
1;Money Market Account neural program;Technician Licensed Metal Computer Exclusive;2021-08-15T11:40:36;Iranian Rial;2021-08-15T16:35:42;scalable;user-centric Democratic People's Republic of Korea
2;Cordoba Oro;Tugrik Rustic Frozen Salad array;2021-08-16T06:59:56;content reboot;2021-08-15T15:48:39;extranet Uzbekistan Sum infomediaries;Bedfordshire Orchestrator
3;vortals system multi-byte;partnerships;2021-08-15T23:45:17;Ergonomic Concrete Chips array Borders;2021-08-16T06:06:02;regional;withdrawal firewall
4;Generic Plastic Hat;Metal;2021-08-15T13:17:45;Investment Account Bacon firewall;2021-08-16T05:31:01;back up Wooden Lead;Human Som Jewelery
5;Mongolia Oregon Virgin Islands, U.S.;maroon Toys Concrete;2021-08-15T21:24:28;SDD client-driven;2021-08-15T15:52:52;compressing pixel Arkansas;Phased
6;Cambridgeshire expedite Berkshire;Berkshire Central Checking Account;2021-08-15T23:46:04;Electronics;2021-08-15T22:36:28;deposit;bricks-and-clicks
7;Tuna;generate plum;2021-08-15T16:29:28;Generic Wooden Bacon;2021-08-16T02:34:46;revolutionary dot-com AGP;Planner Switchable
8;system hardware Gorgeous;Bedfordshire;2021-08-15T22:55:49;Ukraine;2021-08-15T20:39:18;24/365 initiatives Iraq;Infrastructure Home Loan Account
9;TCP Marketing;multi-state hacking Roads;2021-08-15T12:22:13;Buckinghamshire Personal Loan Account;2021-08-15T12:17:10;USB;Wisconsin
10;Crest;Valleys;2021-08-15T23:20:42;indexing;2021-08-16T04:12:50;bleeding-edge;Surinam Dollar back up
