id;created_time;created_name;update_time;update_name;years;semester_amount;semester;from_date;to_date
1;2021-07-31T15:41:39;primary;2021-08-01T08:02:38;distributed Planner;Botswana Corporate navigate;68421;Coves;2021-07-31T15:48:30;2021-08-01T12:10:44
2;2021-07-31T20:07:01;Home Frozen;2021-07-31T20:50:48;Industrial Games;AGP Books;4588;index Handmade e-commerce;2021-08-01T05:19:27;2021-08-01T10:22:55
3;2021-08-01T09:53:50;Savings synthesize Loan;2021-07-31T18:20:38;Representative;sensor;51682;Buckinghamshire Synergistic Checking;2021-08-01T02:58:32;2021-07-31T23:03:56
4;2021-07-31T20:26:49;recontextualize Republic;2021-08-01T08:50:47;compressing;Nevada Unions;15482;infomediaries overriding Metal;2021-08-01T06:17:47;2021-08-01T00:22:48
5;2021-07-31T20:35:19;Market Granite;2021-08-01T06:46:06;Granite;Extension;78265;Table orchestrate;2021-08-01T05:01:31;2021-08-01T11:50:48
6;2021-07-31T16:28:12;virtual;2021-07-31T21:31:32;deposit Refined hack;Tactics invoice;92925;Borders Wooden;2021-08-01T05:31:38;2021-08-01T03:37:49
7;2021-08-01T12:36:45;connect quantify Avon;2021-07-31T20:34:00;Forint synthesize open;Delaware Concrete invoice;85216;silver mesh Ohio;2021-08-01T00:30:33;2021-08-01T12:13:48
8;2021-08-01T00:40:23;Card bricks-and-clicks Operations;2021-07-31T16:47:39;National;Auto functionalities;72147;Shoes collaboration;2021-07-31T17:15:23;2021-07-31T20:35:31
9;2021-07-31T22:02:33;Bacon Cotton;2021-07-31T23:19:54;Soft;Global;86610;Steel Account payment;2021-08-01T05:43:18;2021-08-01T05:16:09
10;2021-08-01T03:41:59;encompassing solid ivory;2021-08-01T08:29:30;Fresh;program 4th Rue;59364;Alaska Books;2021-07-31T19:07:58;2021-08-01T10:02:56
