id;created_time;created_name;update_time;update_name;class_id;subject_id;coefficient;flg_semester_1;flg_semester_2;teacher_semester_1;teacher_semester_2
1;2021-07-31T14:26:12;Sports;2021-08-01T04:18:26;Account Dollar;70739;44189;2021-08-01T03:29:00;79478;89548;31883;46478
2;2021-08-01T05:22:06;Steel Factors;2021-07-31T23:57:36;Litas solutions CSS;38780;20547;2021-07-31T20:20:01;37781;59324;89260;39487
3;2021-08-01T11:41:19;Vermont partnerships;2021-07-31T15:17:36;Analyst;71330;30465;2021-07-31T17:27:46;88218;30776;4032;66028
4;2021-07-31T19:48:42;capacity;2021-08-01T09:46:39;turquoise;18185;68149;2021-08-01T05:05:21;84554;73920;29320;3365
5;2021-08-01T01:29:07;SSL;2021-07-31T19:05:57;mint Computer;7704;11948;2021-08-01T11:47:38;41671;89748;99688;97043
6;2021-08-01T10:20:52;bluetooth;2021-07-31T13:07:46;Nevada Gardens Implementation;49293;74515;2021-08-01T07:43:18;42936;58212;13342;73562
7;2021-08-01T08:55:53;microchip Southern;2021-07-31T23:16:19;Generic;41456;74098;2021-08-01T12:47:10;46083;37266;7807;50636
8;2021-08-01T09:05:02;AGP violet quantify;2021-08-01T01:35:45;implement implement Baby;90281;886;2021-08-01T02:23:46;69979;72720;56740;20987
9;2021-07-31T16:28:48;Account Intelligent circuit;2021-07-31T20:08:04;Future-proofed interface compress;91507;15865;2021-08-01T08:44:41;99716;58101;75350;79946
10;2021-07-31T14:38:59;silver Switzerland;2021-07-31T19:24:54;Plains;18518;92489;2021-08-01T02:20:58;31056;50414;52791;17479
