id;created_time;created_name;update_time;update_name;class_id;subject_id;coefficient;flg_semester_1;flg_semester_2;teacher_semester_1;teacher_semester_2
1;2021-08-01T05:47:10;Licensed British innovate;2021-07-31T15:52:07;Dynamic;24516;12043;2021-08-01T11:14:19;14645;43579;94589;67285
2;2021-08-01T10:07:14;Pound Grocery optical;2021-08-01T04:49:16;Sleek Pennsylvania optimizing;35272;95201;2021-07-31T23:33:23;47490;11516;13584;62158
3;2021-07-31T23:38:14;Israel brand local;2021-07-31T23:42:21;Guinea-Bissau;92952;84701;2021-07-31T16:44:05;12379;69279;307;54192
4;2021-08-01T06:10:34;Steel Rustic upward-trending;2021-08-01T05:20:51;synthesizing;36165;74831;2021-08-01T04:23:14;16334;43568;49755;92905
5;2021-07-31T17:40:01;Franc;2021-08-01T00:26:19;Walks Legacy Legacy;9735;84858;2021-08-01T07:46:13;46812;2112;19220;76861
6;2021-08-01T05:02:07;Product;2021-07-31T16:42:46;Designer Awesome Texas;16213;48249;2021-07-31T17:30:52;65096;63466;61204;7571
7;2021-07-31T22:48:33;Games Books architectures;2021-08-01T13:26:56;Tenge;83242;68741;2021-08-01T07:07:49;7454;31618;53431;96481
8;2021-07-31T14:04:19;Field quantifying;2021-08-01T13:07:08;Computer;39083;61299;2021-08-01T00:54:36;48964;4010;74723;84438
9;2021-08-01T02:53:42;calculate HDD context-sensitive;2021-08-01T09:27:26;context-sensitive Dynamic Metal;93284;60469;2021-08-01T01:05:19;94978;25046;52384;31154
10;2021-08-01T01:52:44;Plaza Cotton;2021-08-01T13:18:28;Senegal;20570;34741;2021-08-01T03:16:55;68812;40334;18791;46690
