id;student_code;subject_code;type_semester_1;type_semester_2;exemption_object;school_year_id;code
1;Coordinator bandwidth;Afghani;Movies;withdrawal;Nevada;67784;Multi-tiered
2;lime;Rwanda;Product Dalasi;Down-sized primary Sleek;deposit strategize extensible;69806;Representative Plastic
3;microchip Alaska;executive;Account encoding;Bermuda;Handcrafted;97272;Tobago AGP Handcrafted
4;management withdrawal;strategic Avon out-of-the-box;yellow;Illinois;teal optimal Borders;53344;Specialist Car
5;Liechtenstein Associate Liaison;bandwidth;hierarchy;Massachusetts Coordinator;calculating payment Auto;85884;Automated toolset Israel
6;Designer Account;Future capacitor Delaware;Savings indigo HTTP;real-time quantify Credit;invoice Wooden eyeballs;52223;Re-engineered Lead hack
7;payment Cambridgeshire;bus Small Cambridgeshire;Avon Dynamic;Florida User-centric indigo;Bedfordshire payment;4356;Infrastructure
8;intuitive COM;Coordinator mobile;Virtual;Implementation Oregon;radical;24928;deposit Shilling
9;black Small maximize;website Salad;invoice interactive;Shirt Cuban Cheese;JSON;51342;index customer
10;Analyst alliance Frozen;Berkshire;Towels;deposit Metal Wyoming;Idaho;52547;SCSI
