id;code;school_year;grade_code;class_code
1;Grocery Wisconsin hacking;Planner compress;mint mobile neural;Car
2;Account Sleek;Paradigm;Cotton;Somali sticky
3;Pizza Refined Interactions;Island;Consultant synthesizing overriding;Seamless deposit
4;monitoring;Plastic wireless;Visionary;Generic
5;Incredible CSS Oregon;Home Timor-Leste;bypass Configuration overriding;De-engineered navigating
6;state;Alaska and Associate;interface SMTP core;success disintermediate Cote
7;scalable;Rupiah Wyoming;Principal Internal;Investor
8;indigo maroon;alarm lime;Frozen Carolina Operations;haptic Savings Arizona
9;Communications digital e-services;Dalasi;Generic;Oval
10;Fresh;indexing Sleek;Views metrics;bus copy Profound
